__,samsumg,skhynix,samsung_delta,skhynix_delta,samsung_delta_change,skhynix_delta_change,Term,samsung_return,skhynix_return,rf,samsung_stock_nums,samsung_invest_moneys,samsung_remain_moneys,samsung_costs,skhynix_stock_nums,skhynix_invest_moneys,skhynix_remain_moneys,skhynix_costs,total_invest_money,total_remain_money,total_money
2018.10.31,42400,68200,0.093737473,0.046569344,0.093737473,0.046569344,0.98,1,1,1.939,11054,468689600,4530607366,703034.4,3414,232834800,4766815948,349252.2,701524400,9297423313,9998947713
2018.11.7,44000,70800,0.087645473,0.047259248,-0.006092,0.000689904,0.96,1.037735849,1.038123167,1.964,10987,465741600,4529374591,10318,3416,232976400,4768490774,212.4,725280800,9297865365,10023146165
2018.11.14,44100,70400,0.096665453,0.047676693,0.00901998,0.000417445,0.94,1.04009434,1.032258065,1.922,11086,470107500,4526748701,6548.85,3417,233046800,4770260782,105.6,729449400,9297009483,10026458883
2018.11.21,42100,68100,0.100353386,0.050827099,0.003687933,0.003150407,0.92,0.992924528,0.998533724,1.946,11127,471833600,4526729574,2589.15,3428,233795900,4771312490,1123.65,701893500,9298042064,9999935564
2018.11.28,43150,71900,0.096927634,0.047543053,-0.003425752,-0.003284046,0.9,1.017688679,1.054252199,1.92,11089,470193900,4526814869,5738.95,3417,233005000,4772343428,2768.15,724172650,9299158296,10023330946
2018.12.5,41450,68200,0.096692215,0.052021908,-0.000235419,0.004478855,0.88,0.97759434,1,1.901,11086,470069550,4528398513,435.225,3432,234028000,4773119649,1534.5,693577100,9301518162,9995095262
2018.12.12,40450,66200,0.103525721,0.050206934,0.006833506,-0.001814974,0.86,0.954009434,0.970674487,1.803,11162,473143750,4527010868,4611.3,3426,233630800,4774504682,1390.2,678304100,9301515550,9979819650
2018.12.19,39100,60300,0.110310781,0.053162106,0.00678506,0.002955172,0.84,0.922169811,0.884164223,1.783,11238,476115350,4525639098,4457.4,3436,234233800,4775593670,904.5,646596600,9301232768,9947829368
2018.12.27,38250,61600,0.102536263,0.047926435,-0.007774519,-0.005235672,0.82,0.902122642,0.903225806,1.81,11151,472787600,4523885737,11647.125,3418,233125000,4776155469,3880.8,637074550,9300041206,9937115756
2019.1.7,38750,58700,0.111490513,0.051487317,0.00895425,0.003560882,0.8,0.913915094,0.860703812,1.807,11251,476662600,4521613951,5812.5,3430,233829400,4777149972,1056.6,637317250,9298763923,9936081173
2019.1.14,40050,62100,0.112688658,0.047810699,0.001198145,-0.003676618,0.78,0.944575472,0.910557185,1.797,11264,477183250,4522699289,780.975,3417,233022100,4778037329,2825.55,663318900,9300736618,9964055518
2019.1.21,42750,67000,0.117497816,0.051786715,0.004809158,0.003976016,0.76,1.008254717,0.982404692,1.821,11318,479491750,4521985032,3462.75,3431,233960100,4778786361,1407,713721500,9300771392,10014492892
2019.1.28,45050,71800,0.116031611,0.051695018,-0.001466205,-9.17E-05,0.74,1.0625,1.052785924,1.82,11301,478725900,4522835654,2680.475,3431,233960100,4780497755,0,755455850,9303333410,10058789260
2019.1.31,46150,73900,,,,,,1.088443396,1.083577713,1.809,0,5044376725,4522835654,762156.6535,0,5034048631,4780497755,366473.1585,0,0,10078425357
,,,,,,,,,,,,,,,,,,,,,
,,3414 ,,,,,,,,,-67,-2948000,-1232774.49,,2,,,,,,
,,2 ,3417 ,,,,,,,,99,4365900,-2625889.855,,1,,,,,,
,,1 ,3416 ,,,,,,,,41,1726100,-19127.1732,,11,,,,,,
,,11 ,3425 ,,,,,,,,-38,-1639700,85294.47634,,-11,,,,,,
,,-11 ,3403 ,,,,,,,,-3,-124350,1583644.594,,15,,,,,,
,,15 ,3429 ,,,,,,,,76,3074200,-1387644.888,,-6,,,,,,
,,-6 ,3408 ,,,,,,,,76,2971600,-1371770.438,,10,,,,,,
,,10 ,3424 ,,,,,,,,-87,-3327750,-1753361.211,,-18,,,,,,
,,-18 ,3396 ,,,,,,,,100,3875000,-2271786.013,,12,,,,,,
,,12 ,3426 ,,,,,,,,13,520650,1085338.411,,-13,,,,,,
,,-13 ,3402 ,,,,,,,,54,2308500,-714257.3698,,14,,,,,,
,,14 ,3428 ,,,,,,,,-17,-765850,850622.5484,,0,,,,,,
,,0 ,3414 ,,,,,,,,-11301,4565650825,0,,-3431,,,,,,
,,0 ,3414 ,,,,,,,,0,-5044376725,-4522835654,,0,,,,,,
,,0 ,3414 ,,,,,,,,,,,,,,,,,,